Year,loc,Type,TrialNumber,PlotNumber,col,row,rep,Entry,DH,DM,PHMean,TKW,GYH
2021,Debreberhane,DB21FBNHP01,1,39,2,2,2,10,85,,83,44.8,2308.196
2021,Debreberhane,DB21FBNHP01,1,21,20,2,2,11,81,,88.66666667,44.8,3099.27
2021,Debreberhane,DB21FBNHP01,1,28,13,2,2,12,86,,71.33333333,49.2,2763.651
2021,Debreberhane,DB21FBNHP01,1,24,17,2,2,13,81,,94,50,3774.2368
2021,Debreberhane,DB21FBNHP01,1,37,4,2,2,14,79,,81.66666667,49.6,1653.1446
2021,Debreberhane,DB21FBNHP01,1,25,16,2,2,15,80,,85.66666667,46,4856.139
2021,Debreberhane,DB21FBNHP01,1,35,6,2,2,16,79,,72,42,2088.768
2021,Debreberhane,DB21FBNHP01,1,40,1,2,2,17,86,,64,39.2,1773.156
2021,Debreberhane,DB21FBNHP01,1,27,14,2,2,18,80,,87.66666667,42.4,4110.3418
2021,Debreberhane,DB21FBNHP01,1,32,9,2,2,19,88,,72,50.4,1251.9024
2021,Debreberhane,DB21FBNHP01,1,34,7,2,2,20,86,,79,49.6,1835.0782
2021,Debreberhane,DB21FBNHP01,1,49,9,3,3,1,86,,85.33333333,52,1215.434
2021,Debreberhane,DB21FBNHP01,1,44,4,3,3,2,93,,96.66666667,51.6,1001.976
2021,Debreberhane,DB21FBNHP01,1,58,18,3,3,3,80,,99.66666667,54.8,
2021,Debreberhane,DB21FBNHP01,1,56,16,3,3,4,96,,103,41.2,3652
2021,Debreberhane,DB21FBNHP01,1,60,20,3,3,5,79,,81,40.8,2868.672
2021,Debreberhane,DB21FBNHP01,1,59,19,3,3,6,80,,94.66666667,46,3304.8786
2021,Debreberhane,DB21FBNHP01,1,41,1,3,3,7,89,,56.33333333,31.2,876.226
2021,Debreberhane,DB21FBNHP01,1,50,10,3,3,8,79,,81.66666667,44.4,1858.4844
2021,Debreberhane,DB21FBNHP01,1,43,3,3,3,9,90,,64.33333333,41.6,1301.3976
2021,Debreberhane,DB21FBNHP01,1,57,17,3,3,10,78,,95.66666667,38,3453.807
2021,Debreberhane,DB21FBNHP01,1,46,6,3,3,11,87,,71.33333333,42,1349.1072
2021,Debreberhane,DB21FBNHP01,1,53,13,3,3,12,81,,78.33333333,46.4,3839.0868
2021,Debreberhane,DB21FBNHP01,1,52,12,3,3,13,81,,76.33333333,47.2,2349.087
2021,Debreberhane,DB21FBNHP01,1,45,5,3,3,14,80,,80.33333333,39.2,1258.695
2021,Debreberhane,DB21FBNHP01,1,51,11,3,3,15,80,,74.66666667,41.6,2442.5056
2021,Debreberhane,DB21FBNHP01,1,54,14,3,3,16,79,,100.3333333,49.2,5240.082
2021,Debreberhane,DB21FBNHP01,1,48,8,3,3,17,80,,74.33333333,31.6,1665.3812
2021,Debreberhane,DB21FBNHP01,1,42,2,3,3,18,86,,59,38.4,1339.056
2021,Debreberhane,DB21FBNHP01,1,55,15,3,3,19,85,,98.33333333,51.6,4280.4028
2021,Debreberhane,DB21FBNHP01,1,47,7,3,3,20,87,,71,50,1187.253
2021,Debremarkose,DM21FBNHP01,1,15,15,1,1,1,72,99,123.67,54,6375
2021,Debremarkose,DM21FBNHP01,1,19,19,1,1,2,83,103,135.33,58.8,4937.5
2021,Debremarkose,DM21FBNHP01,1,11,11,1,1,3,68,98,108.33,43.6,5605
2021,Debremarkose,DM21FBNHP01,1,2,2,1,1,4,80,100,122.33,32.8,4202.5
2021,Debremarkose,DM21FBNHP01,1,1,1,1,1,5,66,91,103.33,37.6,5047.5
2021,Debremarkose,DM21FBNHP01,1,8,8,1,1,6,63,90,107.33,37.6,4650
2021,Debremarkose,DM21FBNHP01,1,18,18,1,1,7,71,92,108.67,27.6,3542.5
2021,Debremarkose,DM21FBNHP01,1,7,7,1,1,8,61,96,105,42.8,5250
2021,Debremarkose,DM21FBNHP01,1,6,6,1,1,9,68,94,98.67,32.4,5962.5
2021,Debremarkose,DM21FBNHP01,1,13,13,1,1,10,64,93,113,40,5982.5
2021,Debremarkose,DM21FBNHP01,1,5,5,1,1,11,65,98,105.33,44.4,6122.5
2021,Debremarkose,DM21FBNHP01,1,20,20,1,1,12,64,89,104.67,44,6852.5
2021,Debremarkose,DM21FBNHP01,1,4,4,1,1,13,66,95,105,42.4,6787.5
2021,Debremarkose,DM21FBNHP01,1,10,10,1,1,14,61,96,116.67,44.8,6125
2021,Debremarkose,DM21FBNHP01,1,14,14,1,1,15,64,89,108.33,31.2,5810
2021,Debremarkose,DM21FBNHP01,1,9,9,1,1,16,64,95,118,44.8,6325
2021,Debremarkose,DM21FBNHP01,1,12,12,1,1,17,65,92,102.67,42,6200
2021,Debremarkose,DM21FBNHP01,1,16,16,1,1,18,63,90,96,32.4,6150
2021,Debremarkose,DM21FBNHP01,1,17,17,1,1,19,68,91,113.33,43.6,4920
2021,Debremarkose,DM21FBNHP01,1,3,3,1,1,20,65,92,109.67,46.8,6350
2021,Debremarkose,DM21FBNHP01,1,36,5,2,2,1,68,94,126.33,54.8,4592.5
2021,Debremarkose,DM21FBNHP01,1,27,14,2,2,2,78,102,129.67,52.4,5762.5
2021,Debremarkose,DM21FBNHP01,1,28,13,2,2,3,65,93,118.67,45.2,5437.5
2021,Debremarkose,DM21FBNHP01,1,31,10,2,2,4,80,96,125,27.6,3487.5
2021,Debremarkose,DM21FBNHP01,1,23,18,2,2,5,64,91,106.33,35.6,5790
2021,Debremarkose,DM21FBNHP01,1,32,9,2,2,6,64,89,107,33.6,3957.5
2021,Debremarkose,DM21FBNHP01,1,33,8,2,2,7,64,93,96.33,29.6,3022.5
2021,Debremarkose,DM21FBNHP01,1,38,3,2,2,8,62,93,107.33,42.4,6195
2021,Debremarkose,DM21FBNHP01,1,25,16,2,2,9,69,90,102.67,28,5045
2021,Debremarkose,DM21FBNHP01,1,40,1,2,2,10,62,90,118.33,38.4,6067.5
2021,Debremarkose,DM21FBNHP01,1,26,15,2,2,11,65,90,106.67,41.6,6687.5
2021,Debremarkose,DM21FBNHP01,1,30,11,2,2,12,66,81,104.33,42.4,6312.5
2021,Debremarkose,DM21FBNHP01,1,29,12,2,2,13,69,90,112.67,39.2,6130
2021,Debremarkose,DM21FBNHP01,1,21,20,2,2,14,63,93,117.33,43.6,7005
2021,Debremarkose,DM21FBNHP01,1,34,7,2,2,15,64,91,111.67,37.6,5595
2021,Debremarkose,DM21FBNHP01,1,35,6,2,2,16,64,91,125.67,44.4,6067.5
2021,Debremarkose,DM21FBNHP01,1,37,4,2,2,17,63,88,111,42.4,5627.5
2021,Debremarkose,DM21FBNHP01,1,39,2,2,2,18,66,89,106,29.2,3410
2021,Debremarkose,DM21FBNHP01,1,22,19,2,2,19,72,102,117,44.4,6497.5
2021,Debremarkose,DM21FBNHP01,1,24,17,2,2,20,64,89,111,42.4,6450
2021,Debremarkose,DM21FBNHP01,1,43,3,3,3,1,69,87,124.33,54,5925
2021,Debremarkose,DM21FBNHP01,1,56,16,3,3,2,78,101,126,48.4,5510
2021,Debremarkose,DM21FBNHP01,1,58,18,3,3,3,69,97,113.67,40.4,5457.5
2021,Debremarkose,DM21FBNHP01,1,50,10,3,3,4,79,86,119.33,33.6,3460
2021,Debremarkose,DM21FBNHP01,1,60,20,3,3,5,64,91,112.67,36.4,4417.5
2021,Debremarkose,DM21FBNHP01,1,52,12,3,3,6,64,91,118.33,36,5055
2021,Debremarkose,DM21FBNHP01,1,51,11,3,3,7,70,95,107.33,27.2,3452.5
2021,Debremarkose,DM21FBNHP01,1,54,14,3,3,8,62,94,105.33,39.6,4682.5
